Overall,data_value,ethics,finding_resources,expectations,useful
Good,Agree,Agree,Agree,Agree,Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Good,Agree,Agree,Agree,Agree,Not Sure
Excellent,Strongly Agree,Strongly Agree,Agree,Agree,Agree
Good,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree
Good,Strongly Agree,Strongly Agree,Agree,Agree,Not Sure
Good,Agree,Agree,Agree,Not Sure,Not Sure
Good,Agree,Strongly Agree,Agree,Agree,Agree
Fair,Agree,Strongly Agree,Not Sure,Agree,Not Sure
Fair,Agree,Agree,Agree,Disagree,Not Sure
Excellent,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Good,Agree,Agree,Not Sure,Not Sure,Agree
Good,Disagree,Disagree,Disagree,Disagree,Agree
Good,Agree,Strongly Agree,Not Sure,Agree,Not Sure
Good,Agree,Strongly Agree,Not Sure,Agree,Strongly Agree
Good,Agree,Agree,Not Sure,Not Sure,Not Sure
Good,Agree,Agree,Not Sure,Not Sure,Not Sure
Excellent,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
Good,Agree,Strongly Agree,Agree,Agree,Not Sure
Good,Agree,Agree,Agree,Agree,Agree
Good,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Good,Strongly Agree,Agree,Agree,Not Sure,Agree
Fair,Agree,Agree,Not Sure,Disagree,Not Sure
Excellent,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Good,Strongly Agree,Strongly Agree,Not Sure,Not Sure,Strongly Agree
Good,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree
Good,Agree,Agree,Strongly Agree,Agree,Agree
Good,Strongly Agree,Agree,Not Sure,Agree,Disagree
Good,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
Good,Agree,Agree,Agree,Not Sure,Agree
Good,Strongly Agree,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Agree,Agree,Agree,Strongly Agree,Strongly Agree
Good,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Excellent,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
Good,Agree,Not Sure,Agree,Not Sure,Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Good,Strongly Agree,Strongly Agree,Agree,Agree,Agree
Good,Agree,Agree,Not Sure,Agree,Agree
Good,Strongly Agree,Agree,Agree,Agree,Agree
Good,Agree,Not Sure,Agree,Agree,Agree
Excellent,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Excellent,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Good,Strongly Agree,Agree,Strongly Agree,Agree,Agree
Good,Agree,Agree,Agree,Agree,Agree
Good,Strongly Agree,Agree,Agree,Agree,Agree
Excellent,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Good,Strongly Agree,Agree,Not Sure,Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Agree,Agree,Agree,Agree,Agree
Good,Strongly Agree,Strongly Agree,Strongly Agree,Agree,NA
Excellent,Agree,Agree,Agree,Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Good,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Excellent,Agree,Agree,Agree,Agree,Strongly Agree
Excellent,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree
Good,Agree,Strongly Agree,Agree,Not Sure,Not Sure
